Date,price,tri,volume,cap,bid,ask
2019-09-02,86.23,0.034802784,58044775.970000006,89752158411.5197,86.17,86.23
2019-09-03,85.94,-0.336309869,85772932.64,92376070131.1995,85.91,85.94
2019-09-04,85.67,-0.314172679,89902869.03,104453252840.959,85.67,85.71
2019-09-05,84.95,-0.840434224,129880224.9,103590596933.119,84.94,84.95
2019-09-06,84.5,-0.529723367,127293081.5,103231156971.519,84.46,84.5
2019-09-09,86.06,1.846153846,130301122.38000001,107113108556.799,86.06,86.07
2019-09-10,85.14,-1.069021613,148119335.1,107796044483.84,85.14,85.15
2019-09-11,85.41,0.317124736,138647590.38,107077164560.64,85.41,85.46
2019-09-12,87.9,2.915349491,230178983.4,105926956683.52,87.9,87.94
2019-09-13,87.19,-0.807736064,128714760.64,105495628729.6,87.19,87.2
2019-09-16,86.98,-0.240853309,102607957.54,104920524791.039,86.98,86.99
2019-09-17,87.42,0.505863417,126854899.74000001,104884580794.879,87.41,87.42
2019-09-18,87.64,0.251658659,101309123.16,103518708940.8,87.61,87.64
2019-09-19,86.4,-1.414879051,112623868.80000001,103698428921.6,86.4,86.43
2019-09-20,88.07,1.93287037,407383373.39,104201644867.84,88.01,88.07
2019-09-23,87.47,-0.681276258,120448376.75,103734372917.76,87.47,87.48
2019-09-24,85.34,-2.435120613,125835366.12,104237588864.0,85.33,85.34
2019-09-25,86.22,1.03116944,116860432.5,103626540929.28,86.22,86.25
2019-09-26,86.82,0.695894224,72707409.0,104165700871.68,86.82,86.83
2019-09-27,87.04,0.253397835,89136706.56,105531572725.759,87.0,87.04
2019-09-30,87.42,0.436580882,140489097.78,105926956683.52,87.42,87.44
2019-10-01,85.44,-2.264927934,155728753.92,105567516721.919,85.43,85.44
2019-10-02,83.11,-2.727059925,147802491.56,105819124695.039,83.1,83.11
2019-10-03,82.93,-0.216580436,131096905.02000001,106430172629.76,82.93,82.94
2019-10-04,84.22,1.555528759,107888009.72,104668916817.92,84.22,84.27
2019-10-07,85.39,1.389218713,72108097.84,105603460718.08,85.37,85.39
2019-10-08,83.89,-1.756645977,91697222.85,106142620660.479,83.88,83.9
2019-10-09,84.29,0.476814877,61767121.970000006,105891005734.8,84.29,84.31
2019-10-10,83.59,-0.830466247,86017620.78,109808901059.0,83.58,83.59
2019-10-11,83.94,0.418710372,122222599.74,110815332885.4,83.9,83.95
2019-10-14,83.13,-0.964974982,100412311.35,111677988736.6,83.11,83.13
2019-10-15,83.91,0.938289426,113875939.19999999,110312116972.2,83.89,83.91
2019-10-16,83.66,-0.297938267,95428368.53999999,110995052854.4,83.63,83.66
2019-10-17,83.6,-0.071718862,95421207.19999999,110635612916.399,83.59,83.6
2019-10-18,83.54,-0.071770335,89396321.08000001,111282604804.8,83.54,83.56
2019-10-21,83.7,0.191525018,73264116.60000001,111354492792.4,83.69,83.7
2019-10-22,82.84,-1.027479092,107413077.72,111030996848.199,82.84,82.88
2019-10-23,82.22,-0.74843071,124491028.62,110887220873.0,82.22,82.26
2019-10-24,82.85,0.766236925,89809814.25,111174772823.4,82.85,82.86
2019-10-25,73.68,-11.068195534,467673042.72,111642044742.799,73.68,73.91
2019-10-28,73.12,-0.760043431,186765443.84,111749876724.199,73.11,73.16
2019-10-29,72.19,-1.271881838,156229050.03,112073372668.399,72.19,72.2
2019-10-30,72.53,0.47097936,131058953.86,112828196538.199,72.53,72.54
2019-10-31,72.04,-0.675582518,167032592.36,111821764711.8,72.04,72.11
2019-11-01,71.32,-0.999444753,101331313.35999998,111318548798.6,71.31,71.33
2019-11-04,71.03,-0.406618059,177988607.69,111498268767.6,71.02,71.03
2019-11-05,71.53,0.703927918,132984784.91,111174772823.4,71.53,71.54
2019-11-06,71.77,0.335523557,101793257.02,111426380779.999,71.75,71.79
2019-11-07,70.92,-1.18433886,123631360.92,111354492792.4,70.9,70.92
2019-11-08,71.1,0.253807107,124916016.6,110491836941.2,71.1,71.11
2019-11-11,71.2,0.140646976,121080512.80000001,109090021182.999,71.17,71.2
2019-11-12,71.89,0.969101124,123341960.56,109269741151.999,71.88,71.89
2019-11-13,72.27,0.528585339,167516367.48,109161909170.6,72.27,72.28
2019-11-14,71.98,-0.401273004,154021148.46,109341629139.6,71.96,71.98
2019-11-15,72.15,0.236176716,104409130.80000001,109161909170.6,72.14,72.15
2019-11-18,72.5,0.485100485,105764522.5,108407085300.8,72.5,72.51
2019-11-19,71.72,0.027586207,104775819.72,108263309325.599,71.71,71.73
2019-11-20,71.16,-0.780814278,106431450.24,106430165641.8,71.14,71.16
2019-11-21,70.89,-0.379426644,114254547.24,105711285765.799,70.89,70.91
2019-11-22,71.43,0.761743546,163264765.23000002,107184989511.6,71.43,71.44
2019-11-25,71.95,0.72798544,97976833.25,107544429270.079,71.95,71.97
2019-11-26,71.48,-0.653231411,170416683.16,106789605401.539,71.48,71.51
2019-11-27,71.55,0.097929491,80202469.95,103482757977.459,71.53,71.55
2019-11-28,71.7,0.209643606,83230937.4,103985973889.82,71.55,71.7
2019-11-29,71.87,0.237099024,109572355.17,104848629739.579,71.85,71.87
2019-12-02,71.33,-0.751356616,148121381.45,105028349708.28,71.32,71.33
2019-12-03,71.03,-0.420580401,146965331.8,103518701971.2,71.03,71.05
2019-12-04,71.44,0.577220893,93790361.2,102044998227.86,71.44,71.46
2019-12-05,70.57,-1.217805151,81189726.44999999,102979542065.1,70.57,70.61
2019-12-06,71.8,1.742950262,90440141.6,103015486058.84,71.8,71.81
2019-12-09,71.33,-0.6545961,54613315.19,104668909770.88,71.32,71.38
2019-12-10,70.68,-0.911257535,142379276.28,104776730500.2,70.67,70.68
2019-12-11,71.01,0.466893039,85711626.36,104992394439.479,71.0,71.01
2019-12-12,70.1,-1.281509647,163501169.89999998,103842132276.78,70.08,70.1
