,RIC,name
0,1COVG.DE,COVESTRO ORD
1,AALB.AS,AALBERTS ORD
2,ABB.ST,ABB ORD
3,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD
4,ABNd.AS,ABN AMRO BANK ORD
5,ACCP.PA,ACCOR SA ORD
6,ACKB.BR,ACKERMANS V.HAAR ORD
7,AD.AS,KONINKLIJKE AHOLD DELHAIZE NV ORD
8,ADP.PA,AEROPORTS DE PARIS ORD
9,ADSGn.DE,ADIDAS ORD
10,ADYEN.AS,ADYEN NV ORD
11,AEGN.AS,AEGON ORD
12,AGES.BR,AGEAS(EX-FORTIS) ORD
13,AIR.PA,AIRBUS SE
14,AIRF.PA,AIR FRANCE-KLM ORD
16,AIRP.PA,AIR LIQUIDE ORD
17,AKE.PA,ARKEMA ORD
18,AKER.OL,AKER ORD
19,AKRBP.OL,AKER BP ASA ORD
20,AKZO.AS,AKZO NOBEL ORD
21,ALFA.ST,ALFA LAVAL ORD
22,ALIVsdb.ST,AUTOLIV SDR
23,ALSO.PA,ALSTOM SA ORD
24,ALTT.PA^D20,ALTRAN TECHNOLOGIES ORD
25,ALVG.DE,ALLIANZ SE ORD
26,AM.PA,DASSAULT AVIATI ORD
27,AMBUb.CO,AMBU ORD
28,AMG.AS,AMG ORD
29,AMUN.PA,AMUNDI ORD
30,APAM.AS,APERAM ORD
33,ARDS.AS,ARCADIS ORD
34,ARGX.BR,ARGEN X NV
35,ASMI.AS,ASM INTL ORD
36,ASML.AS,ASML HOLDING ORD
37,ASRNL.AS,ARS NEDERLAND NV WHEN ISSUED
38,ASSAb.ST,ASSA ABLOY ORD
39,ATCA.AS^A21,ALTICE EUROPE NV ORD
40,ATCOa.ST,ATLAS COPCO SR A ORD
41,ATCOb.ST,ATLAS COPCO SR B ORD
42,ATOS.PA,ATOS SE ORD
43,AXAF.PA,AXA ORD
44,AYV.PA,ALD INTERNATIONAL SA ORD
45,AZN.ST,ASTRAZENECA ORD
46,BAKKA.OL,BAKKAFROST ORD
47,BAMN.AS,KONINKLIJKE BAM GROEP ORD
48,BAR.BR,BARCO ORD
49,BASFn.DE,BASF SE ORD
50,BAYGn.DE,BAYER AG
51,BEIG.DE,BEIERSDORF ORD
52,BESI.AS,BE SEMICONDUCTOR ORD
53,BFIT.AS,BASIC FIT NV ORD
54,BICP.PA,SOCIETE BIC ORD
55,BIOX.PA,BIOMERIEUX ORD
56,BMWG.DE,BMW AG
57,BNPP.PA,BNP PARIBAS ORD
58,BOL.ST,BOLIDEN ORD
59,BOLL.PA,BOLLORE ORD
60,BOSN.AS^K22,ROYAL BOSKALIS ORD
61,BOUY.PA,BOUYGUES ORD
62,BVI.PA,BUREAU VERITAS REGISTRE INTL ORD
63,BWLPG.OL,BW LPG ORD
64,BWO.OL,BW OFFSHORE ORD
65,CAGR.PA,CREDIT AGRICOLE ORD
66,CAPP.PA,CAPGEMINI ORD
67,CARLb.CO,CARLSBERG ORD
68,CARR.PA,CARREFOUR ORD
69,CASP.PA,CASINO ORD
70,CHRH.CO^A24,CHRISTIAN HANSEN HOLDING ORD
71,CLARI.PA,KORIAN ORD
72,CNAT.PA^G21,NATIXIS ORD
73,CNPP.PA^F22,CNP ASSURANCES ORD
74,COFA.PA,COFACE PROMESSES ORD
75,COFB.BR,COFINIMMO
76,COLOb.CO,COLOPLAST ORD
77,COLR.BR,ETABLISSEMENTS COLRUYT ORD
78,CONG.DE,CONTINENTAL ORD
79,CORB.AS,CSM ORD
80,CVO.PA,COVIVIO SA ORD
81,DANO.PA,GROUPE DANONE ORD
82,DANSKE.CO,DANSKE BANK ORD
83,DAST.PA,DASSAULT SYSTEMES ORD
84,DB1Gn.DE,DEUTSCHE BOERSE AG ORD
85,DBKGn.DE,DEUTSCHE BANK ORD
86,DBV.PA,DBV TECHNOLOGIES ORD
87,DEMANT.CO,DEMANT ORD
88,DHLn.DE,DEUTSCHE POST ORD
89,DNB.OL,DNBNOR ORD
90,DNO.OL,DNO ASA
91,DSMN.AS^E23,KONINKLIJKE DSM ORD
92,DSV.CO,DSV PANALPINA ORD
93,DTEGn.DE,DEUTSCHE TELEKOM AG ORD
94,ECMPA.AS,EUROCOMMERCIAL PROPERTIES REIT
95,EDEN.PA,EDENRED ORD
96,EDF.PA^F23,ELECTRICITE DE FRANCE SA
97,ELIOR.PA,ELIOR GROUP ORD
98,ELIS.PA,ELIS ORD SHS
99,ELISA.HE,ELISA ORD
100,ELUXb.ST,ELECTROLUX ORD
101,EMEIS.PA,ORPEA ORD
102,ENGIE.PA,ENGIE ORD
103,ENX.PA,EURONEXT
104,EONGn.DE,E.ON ORD
105,EQNR.OL,EQUINOR ORD
106,ERICb.ST,TELEFONAKTIEBOLAGET LM ERICSSON ORD
107,ERMT.PA,ERAMET ORD
108,ESLX.PA,ESSILORLUXOTTICA ORD
109,ESSITYb.ST,ESSITY AKTIEBOLAG B ORD
110,ETL.PA,EUTELSAT COMMUNICATIONS ORD
111,EUCAR.PA^G22,EUROPCAR MOBILITY GROUP SA ORD
112,EUFI.PA,EUROFINS SCIENTIFIC ORD
113,EURA.PA,EURAZEO ORD
114,EXHO.PA,SODEXO ORD
115,FAGRO.BR,FAGRON
116,FLOW.AS,FLOW TRADERS ORD
117,FMEG.DE,FRESENIUS MEDICAL CARE ORD
118,FNAC.PA,FNAC DARTY ORD
119,FORTUM.HE,FORTUM ORD
120,FOUG.PA,EIFFAGE ORD
121,FREG.DE,FRESENIUS SE ORD
122,FRO.OL,FRONTLINE ORD
123,FRVIA.PA,FAURECIA SA ORD
124,FTI.PA^B22,TECHNIPFMC LTD ORD
125,FUGR.AS,FUGRO NV ORD
126,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD
127,GETIb.ST,GETINGE ORD
128,GETP.PA,GETLINK ORD
129,GFCP.PA,GECINA REIT
130,GJFG.OL,GJENSIDIGE ORD
131,GLPG.AS,GALAPAGOS ORD
133,GMAB.CO,GENMAB ORD
134,GN.CO,GN STORE NORD ORD
135,GNFT.PA,GENFIT ORD
136,GOGL.OL^H25,GOLDEN OCEAN GROUP LTD
137,GTT.PA,GTT PROMESSES ORD
138,GVNV.AS^A22,GRANDVISION
139,HEIG.DE,HEIDELBGCEMENT ORD
140,HEIN.AS,HEINEKEN ORD
141,HEXAb.ST,HEXAGON ORD
142,HIAB.HE,CARGOTEC ORD
143,HMb.ST,HENNES AND MAURITZ ORD
144,HNKG_p.DE,HENKEL& KGAA PRF
145,HRMS.PA,HERMES INTL ORD
146,HUH1V.HE,HUHTAMAKI SR I ORD
147,ICAD.PA,ICADE REIT
148,IFXGn.DE,INFINEON TECHNOLOGIES ORD
149,ILD.PA^J21,ILIAD ORD
150,IMCD.AS,IMCD
151,IMTP.PA,IMERYS ORD
152,INGA.AS,ING GROEP ORD
154,INGC.PA^K20,INGENICO GROUP
155,INTER.AS^L22,INTERTRUST GROUP HOLDING ORD WI
156,INVEb.ST,INVESTOR ORD
157,IPN.PA,IPSEN PROMESSES ORD
158,ISOS.PA,IPSOS ORD
159,ISS.CO,ISS A/S
160,JCDX.PA,JCDECAUX ORD
161,KBC.BR,KBC GROEP ORD
162,KCRA.HE,KONECRANES OYJ ORD
