Date,1COVG.DE,AALB.AS,ABB.ST,ABI.BR,ABNd.AS,ACCP.PA,ACKB.BR,AD.AS,ADP.PA,ADSGn.DE,ADYEN.AS,AEGN.AS,AGES.BR,AIR.PA,AIRF.PA,AIRP.PA,AKE.PA,AKER.OL,AKRBP.OL,AKZO.AS,ALFA.ST,ALIVsdb.ST,ALSO.PA,ALTT.PA^D20,ALVG.DE,AM.PA,AMBUb.CO,AMG.AS,AMUN.PA,APAM.AS,ARDS.AS,ARGX.BR,ASMI.AS,ASML.AS,ASRNL.AS,ASSAb.ST,ATCA.AS^A21,ATCOa.ST,ATCOb.ST,ATOS.PA,AXAF.PA,AYV.PA,AZN.ST,BAKKA.OL,BAMN.AS,BAR.BR,BASFn.DE,BAYGn.DE,BEIG.DE,BESI.AS
2019-09-02,40.62,34.43,16.5946569813041,86.23,16.01,39.41,131.5,21.4,157.5,270.2,649.6,3.449,48.75,124.312203381,51.6200178,95.71753435,79.54,46.6361454017999,24.0896634176895,81.83,16.4892450699066,61.9854569876061,33.799953069,14.455,201.55,130.0,15.8724881558426,19.725,58.5,22.47,17.05,119.6,75.1664316,200.7,30.6,19.1059963978265,4.029,6.68073308334666,5.94711488527833,5065.0922,20.99,12.53544168,83.5782950729593,53.1039892536807,2.628,27.3428298,60.01,66.72,115.8,26.56
2019-09-03,40.23,34.25,16.5716904904019,85.94,15.875,39.43,130.3,21.445,157.6,270.4,653.0,3.405,48.65,122.950688772,50.9895828,94.177338546,78.6,45.7888281833766,23.3050313173047,81.54,16.3678272757824,61.0719044369991,33.520108697,14.465,199.72,131.0,17.1151769709635,19.47,58.35,22.85,17.08,117.5,75.2452844,201.25,30.3,19.2033085532145,3.958,6.65042020731591,5.92125937652655,5027.9472,20.81,12.33472864,82.335693656629,52.0238083900488,2.638,28.0285434,59.36,66.4,115.9,26.42
2019-09-04,40.56,34.79,16.6562107574167,85.67,16.08,39.92,134.1,21.59,160.9,273.05,652.8,3.442,49.15,124.509524338,50.813061,94.590561811,80.58,46.413081872446,24.0898348818924,81.14,16.5690352048995,63.6124285831724,34.097287715,14.5,201.0,132.4,15.9456961706913,20.18,59.0,23.37,17.14,117.3,77.0983252,204.7,30.33,19.6611766821489,3.97,6.75122263310011,6.03071211592148,5108.1804,21.02,12.09752232,82.2677279173003,53.0926051928493,2.6,27.9714006,60.21,67.51,116.35,27.09
2019-09-05,41.47,35.25,16.9251520524091,84.95,16.585,40.03,135.3,21.625,161.5,274.8,662.8,3.573,50.06,125.614521702,50.6113218,93.388457769,81.98,48.7264318784905,25.3091648439495,81.62,17.2187372876981,67.0782113468587,34.158503671,14.5,203.05,140.0,15.9146355137422,20.41,59.6,24.43,17.26,118.8,78.951366,215.1,31.74,19.7173257962934,3.927,6.81091232571194,6.06628653676343,5206.2432,21.405,12.11576896,80.9280652521811,54.2849041235081,2.56,27.714258,61.01,66.5,114.45,27.68
2019-09-06,41.42,35.25,17.0276196464243,84.5,16.605,39.97,134.7,21.775,161.5,278.9,667.0,3.578,49.85,124.904166254,49.85984328,94.139772795,82.04,48.1017784711389,24.697635836862,81.85,17.3750490007985,67.3935594802286,34.552034819,14.55,204.3,137.8,15.3730073009961,19.775,59.45,23.97,17.26,118.6,79.34563,217.3,32.15,20.0318562228422,3.859,6.88868922759341,6.1356308290009,5180.9846,21.56,12.15226224,81.3500264448754,53.8055258777045,2.53,27.6285438,61.46,66.99,114.0,27.71
2019-09-09,42.39,35.6,17.1586435186872,86.06,17.345,40.0,135.6,21.7,160.4,277.05,650.4,3.656,50.04,125.140951403,44.9878416,92.824971499,83.18,49.2005277784003,25.421963425293,81.3,17.4835421606901,70.3091507802549,34.272190447,14.55,206.65,137.4,15.2862830482115,20.34,60.05,24.53,17.41,117.2,79.7201808,219.15,33.13,19.8084314131572,3.887,6.90116657117561,6.14353938152639,5094.8082,21.965,12.02453576,78.7368743204482,51.5305135204041,2.544,27.2285442,62.28,67.26,111.4,28.35
2019-09-10,42.93,36.17,17.5308382155588,85.14,17.845,39.78,134.7,22.22,160.3,269.85,618.0,3.793,50.54,120.661765662,45.43166784,93.613852276,86.0,49.8976324224116,25.8185357872754,80.86,17.6501783888722,70.2640743915158,33.826188479,14.42,207.6,136.1,15.9117707577754,21.01,60.7,25.33,17.69,112.2,77.0194724,217.05,33.53,19.8430084986421,3.817,6.97797204404295,6.19909980796051,5002.6886,22.3,11.860316,77.5298696806039,50.0070785406453,2.526,26.714259,63.87,69.07,109.8,28.77
2019-09-11,42.98,37.33,17.7739953224148,85.41,18.07,39.54,134.3,22.595,160.3,270.5,620.0,3.776,50.44,121.845691409,45.643494,94.365167303,85.88,50.3297753310852,26.0169032092369,81.48,17.9609538160915,70.397547610678,34.438348043,14.4,208.7,135.0,15.9866489809171,21.31,61.1,25.27,18.04,111.6,79.34563,221.0,33.68,20.0505288352185,3.807,7.1439813543196,6.37517181704705,4989.3164,22.455,11.860316,78.2017581315523,51.3207709402539,2.502,27.0285444,64.66,69.0,111.3,29.45
2019-09-12,43.12,37.61,17.7464647413112,87.9,18.085,38.38,136.7,22.625,161.4,275.85,637.8,3.783,50.36,123.14800973,46.23862464,96.205889117,86.12,49.3422346131971,25.064322690725,81.89,18.3315327374766,71.1086826023696,32.750536674,14.32,210.15,136.0,15.9023188792528,21.77,61.5,24.97,18.18,112.5,80.9423992,223.8,33.16,20.2952899605072,3.894,7.17055158720848,6.36911020075036,4992.288,22.425,12.15226224,77.723443774683,50.9625154346355,2.518,27.285687,64.41,68.01,110.65,30.11
2019-09-13,44.9,38.45,17.8356309796888,87.19,18.565,38.75,138.7,22.895,161.7,272.55,625.4,3.873,50.4,123.818900986,47.80210344,95.266745334,88.48,50.1498887157801,25.2256955263744,82.58,18.5507972937809,72.2667998959146,33.485128151,14.41,212.0,136.1,15.5519823788546,22.18,62.3,25.71,18.49,112.7,81.1789576,226.6,33.99,20.4260869112672,3.94,7.31429306462295,6.50062466768618,4931.3702,22.735,12.53544168,77.7939692948218,50.6998058632317,2.562,26.3999736,65.75,68.06,109.65,29.74
