Date,1COVG.DE,AALB.AS,ABB.ST,ABI.BR,ABNd.AS,ACCP.PA,ACKB.BR,AD.AS,ADP.PA,ADSGn.DE,ADYEN.AS,AEGN.AS,AGES.BR,AIR.PA,AIRF.PA,AIRP.PA,AKE.PA,AKER.OL,AKRBP.OL,AKZO.AS,ALFA.ST,ALIVsdb.ST,ALSO.PA,ALTT.PA^D20,ALVG.DE,AM.PA,AMBUb.CO,AMG.AS,AMUN.PA,APAM.AS,ARDS.AS,ARGX.BR,ASMI.AS,ASML.AS,ASRNL.AS,ASSAb.ST,ATCA.AS^A21,ATCOa.ST,ATCOb.ST,ATOS.PA,AXAF.PA,AYV.PA,AZN.ST,BAKKA.OL,BAMN.AS,BAR.BR,BASFn.DE,BAYGn.DE,BEIG.DE,BESI.AS,DATE
2024-08-30,0,-2,0,-4,1,-4,0,4,-1,-4,-8,-5,-5,-8,6,-4,-5,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-12,-7,-2,,-2,,1,-4,-3,0,1,-1,-4,-3,-1,-4,-6,
2024-09-02,0,-2,0,-4,1,-4,0,4,-1,-4,-8,-5,-5,-8,6,-4,-5,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-12,-7,-2,,-2,,1,-5,-3,0,1,-1,-4,-4,-1,-4,-7,
2024-09-03,0,-2,0,-4,1,-4,0,4,-1,-4,-8,-5,-5,-8,5,-4,-5,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-12,-7,-2,,-2,,1,-5,-3,0,1,-1,-4,-5,-1,-4,-7,
2024-09-04,0,-2,0,-4,1,-4,0,4,-1,-4,-8,-5,-5,-8,5,-4,-5,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,-2,,-2,,1,-5,-3,0,1,-1,-4,-5,-1,-4,-7,
2024-09-05,0,-2,0,-4,1,-3,0,4,-1,-4,-8,-5,-5,-7,5,-3,-6,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,-1,,-2,,1,-5,-3,0,1,-1,-4,-5,-1,-4,-7,
2024-09-06,0,-2,0,-4,1,-3,0,4,-1,-4,-8,-5,-5,-7,5,-3,-6,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,-1,,-2,,1,-5,-3,0,1,-1,-4,-5,-2,-4,-7,
2024-09-09,0,-2,0,-4,1,-3,0,4,-1,-3,-8,-5,-5,-7,5,-3,-6,-1,-3,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,0,1,-1,-4,-5,-2,-4,-7,
2024-09-10,0,-2,0,-5,1,-3,0,4,-1,-3,-8,-5,-5,-7,5,-3,-6,-1,-2,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,0,1,-1,-4,-5,-2,-4,-7,
2024-09-11,0,-2,0,-5,1,-3,0,4,-1,-3,-8,-5,-5,-7,5,-3,-6,-1,-2,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-5,-2,-4,-7,
2024-09-12,0,-2,0,-5,0,-3,0,4,-1,-3,-8,-5,-5,-7,5,-3,-6,-1,-2,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-5,-2,-4,-7,
2024-09-13,0,-2,0,-5,0,-3,0,4,-1,-3,-7,-5,-5,-7,5,-3,-6,-1,-2,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-4,-2,-4,-7,
2024-09-14,0,-2,0,-5,0,-3,0,3,-1,-3,-7,-5,-5,-7,5,-3,-6,-1,-2,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-4,-2,-4,-7,
2024-09-16,0,-2,0,-5,0,-3,0,3,-1,-3,-7,-5,-4,-6,5,-3,-6,-1,-2,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-7,
2024-09-17,0,-2,0,-5,0,-3,0,3,-1,-3,-7,-5,-4,-6,5,-3,-6,-1,-1,1,2,0,3,,-4,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-7,
2024-09-18,0,-2,0,-5,0,-3,-1,3,-1,-3,-7,-5,-4,-6,5,-3,-6,-1,-1,1,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-7,
2024-09-19,0,-2,0,-5,0,-3,-1,3,-1,-3,-7,-5,-4,-6,4,-3,-6,-1,-1,1,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-7,
2024-09-20,0,-2,0,-5,0,-3,-1,3,-1,-3,-7,-5,-4,-6,4,-3,-6,-1,-1,1,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-10,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-7,
2024-09-23,0,-2,0,-5,0,-3,-1,2,-1,-3,-7,-5,-4,-6,4,-3,-6,-1,0,1,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-10,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-6,
2024-09-24,0,-2,0,-5,0,-3,-1,2,-1,-3,-7,-5,-4,-6,4,-3,-6,-2,-2,1,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-10,-7,0,,-1,,1,-5,-3,1,1,-1,-4,-2,-2,-4,-6,
2024-09-25,0,-2,0,-5,0,-3,-1,2,-1,-3,-7,-5,-4,-6,2,-3,-6,-2,-2,0,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-10,-7,0,,-1,,1,-6,-3,1,1,-1,-4,-2,-2,-4,-6,
2024-09-26,0,-2,0,-5,0,-3,-1,2,-1,-3,-7,-5,-4,-6,2,-3,-6,-2,-2,0,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-10,-7,0,,-1,,1,-6,-2,1,1,-1,-4,-2,-2,-4,-6,
2024-09-27,0,-2,0,-5,0,-3,-1,2,0,-3,-7,-5,-4,-6,2,-3,-6,-2,-2,0,2,0,3,,-5,0,1,0,-3,-1,1,-12,-4,-11,-7,0,,-1,,1,-6,-2,1,1,-1,-4,-2,-2,-4,-6,
2024-09-30,0,-2,0,-5,0,-3,-1,2,0,-4,-7,-5,-4,-6,2,-3,-6,-2,-2,0,2,0,3,,-6,0,1,0,-3,0,1,-12,-4,-11,-7,0,,-1,,1,-7,-2,1,1,-1,-4,-4,-2,-4,-6,
2024-10-01,0,-2,0,-4,0,-3,-1,2,0,-4,-7,-5,-4,-6,1,-3,-6,-2,-2,0,2,0,3,,-6,0,1,0,-3,0,1,-12,-4,-11,-7,0,,-1,,1,-7,-2,1,1,-1,-4,-4,-2,-4,-6,
2024-10-02,-1,-2,0,-4,0,-3,-1,2,0,-4,-7,-5,-4,-6,1,-3,-6,-2,-2,0,2,0,3,,-6,0,1,0,-3,0,1,-12,-5,-11,-7,0,,-1,,1,-7,-2,1,1,-1,-4,-4,-2,-4,-7,
2024-10-04,-3,-2,0,-4,0,-3,-1,2,0,-4,-7,-5,-4,-6,1,-3,-6,-3,-2,0,2,0,3,,-6,0,1,0,-3,0,1,-11,-5,-11,-7,0,,-1,,1,-7,-2,1,1,-1,-4,-4,-2,-4,-7,
2024-10-07,-3,-2,0,-4,0,-3,-1,1,0,-4,-7,-5,-4,-6,1,-3,-6,-3,-2,0,2,0,3,,-6,0,1,0,-3,0,1,-11,-5,-11,-7,0,,-1,,1,-7,-2,1,0,-1,-4,-4,-2,-4,-7,
2024-10-08,-4,-2,0,-3,0,-3,-1,1,0,-4,-7,-5,-4,-6,1,-3,-6,-3,-2,0,2,0,3,,-6,0,1,0,-3,0,1,-11,-5,-11,-7,0,,-1,,1,-7,-2,1,0,-1,-4,-4,-2,-4,-7,
2024-10-09,-4,-2,0,-3,0,-3,-1,1,0,-4,-7,-5,-4,-6,1,-3,-6,-3,-2,0,2,0,3,,-6,0,1,0,-3,0,0,-11,-5,-11,-7,0,,-1,,1,-7,-2,1,-1,-1,-4,-4,-2,-4,-7,
2024-10-10,-4,-2,0,-3,0,-3,-1,1,-1,-4,-7,-5,-4,-6,0,-3,-6,-3,-2,0,2,0,3,,-5,0,1,0,-3,0,0,-11,-5,-11,-7,0,,-1,,1,-7,-2,1,-1,-1,-4,-4,-2,-4,-7,
2024-10-11,-4,-2,0,-3,0,-3,-1,1,-1,-4,-7,-5,-4,-6,0,-3,-6,-3,-2,0,2,0,3,,-5,0,1,0,-3,0,0,-11,-5,-12,-7,0,,-1,,1,-7,-2,1,-1,-1,-4,-4,-2,-4,-7,
2024-10-14,-4,-2,0,-3,0,-3,-1,1,-2,-4,-7,-5,-4,-6,0,-3,-6,-3,-2,0,2,0,2,,-5,0,1,0,-3,0,0,-11,-5,-12,-7,0,,-1,,1,-7,-2,1,-1,-1,-4,-4,-2,-4,-7,
2024-10-15,-4,-2,0,-3,0,-3,-1,1,-2,-4,-7,-5,-4,-6,0,-3,-6,-3,-2,0,2,0,2,,-5,0,1,0,-3,0,0,-11,-5,-12,-7,0,,-1,,1,-7,-2,1,-1,-1,-4,-3,-2,-4,-7,
